Row,Column,value
-11.788368,-18.028048,-1.029727197
-11.788368,-17.70653226,-0.55904651
-11.788368,-17.38501652,-0.166651216
-11.788368,-17.06350078,0.147458684
-11.788368,-16.74198504,0.38328319
-11.788368,-16.4204693,0.540822303
-11.788368,-16.09895356,0.620076022
-11.788368,-15.77743782,0.621044348
-11.788368,-15.45592208,0.543727281
-11.788368,-15.13440634,0.428644374
-11.788368,-14.8128906,0.439171753
-11.788368,-14.49137486,0.458735945
-11.788368,-14.16985912,0.502932718
-11.788368,-13.84834338,0.548819781
-11.788368,-13.52682764,0.596397136
-11.788368,-13.2053119,0.645664781
-11.788368,-12.88379616,0.696622717
-11.788368,-12.56228042,0.749270945
-11.788368,-12.24076468,0.803609463
-11.788368,-11.91924894,0.859638272
-11.788368,-11.5977332,0.917357373
-11.788368,-11.27621746,0.976766764
-11.788368,-10.95470172,1.037866446
-11.788368,-10.63318598,1.10065642
-11.788368,-10.31167024,1.165136684
-11.788368,-9.9901545,1.231307239
-11.788368,-9.66863876,1.299168086
-11.788368,-9.34712302,1.368719223
-11.788368,-9.02560728,1.439960651
-11.788368,-8.70409154,1.51289237
-11.788368,-8.3825758,1.587514381
-11.788368,-8.06106006,1.663826682
-11.788368,-7.73954432,1.741829274
-11.788368,-7.41802858,1.821522157
-11.788368,-7.09651284,1.902905332
-11.788368,-6.7749971,1.985978797
-11.788368,-6.45348136,2.070742553
-11.788368,-6.13196562,2.1571966
-11.788368,-5.81044988,2.245340938
-11.788368,-5.48893414,2.335175568
-11.788368,-5.1674184,2.426700488
-11.788368,-4.84590266,2.519915699
-11.788368,-4.52438692,2.614821201
-11.788368,-4.20287118,2.711416994
-11.788368,-3.88135544,2.809703078
-11.788368,-3.5598397,2.909679454
-11.788368,-3.23832396,3.01134612
-11.788368,-2.91680822,3.114703077
-11.788368,-2.59529248,3.219750325
-11.788368,-2.27377674,3.326487864
-11.788368,-1.952261,3.434915694
-11.788368,-1.63074526,3.545033815
-11.788368,-1.30922952,3.656842227
-11.788368,-0.98771378,3.77034093
-11.788368,-0.66619804,3.885529925
-11.788368,-0.3446823,4.00240921
-11.788368,-0.02316656,4.120978786
-11.788368,0.29834918,4.241238653
-11.788368,0.61986492,4.363188811
-11.788368,0.94138066,4.48682926
-11.788368,1.2628964,4.61216
-11.788368,1.58441214,4.739181031
-11.788368,1.90592788,4.867892353
-11.788368,2.22744362,4.998293966
-11.788368,2.54895936,5.13038587
-11.788368,2.8704751,5.264168065
-11.788368,3.19199084,5.399640551
-11.788368,3.51350658,5.536803328
-11.788368,3.83502232,5.675656396
-11.788368,4.15653806,6.072035234
-11.788368,4.4780538,6.39681312
-11.788368,4.79956954,6.210824363
-11.788368,5.12108528,6.057957598
-11.788368,5.44260102,5.938212823
-11.788368,5.76411676,5.85159004
-11.788368,6.0856325,5.798089249
-11.788368,6.40714824,5.777710448
-11.788368,6.72866398,5.790453639
-11.788368,7.05017972,5.836318822
-11.788368,7.37169546,5.915305995
-11.788368,7.6932112,6.02741516
-11.788368,8.01472694,6.172646317
-11.788368,8.33624268,6.350999464
-11.788368,8.65775842,6.562474603
-11.788368,8.97927416,6.807071734
-11.788368,9.3007899,7.084790855
-11.788368,9.62230564,7.395631968
-11.788368,9.94382138,7.739595072
-11.788368,10.26533712,8.116680168
-11.788368,10.58685286,8.526887255
-11.788368,10.9083686,8.970216333
-11.788368,11.22988434,9.446667403
-11.788368,11.55140008,9.956240464
-11.788368,11.87291582,10.49893552
-11.788368,12.19443156,11.07475256
-11.788368,12.5159473,11.68369159
-11.788368,12.83746304,12.32575262
-11.788368,13.15897878,13.00093564
-11.788368,13.48049452,13.70924065
-11.788368,13.80201026,14.45066765
-11.788368,14.123526,15.22521664
-11.62680327,-18.028048,-0.036336474
-11.62680327,-17.70653226,-0.72833575
-11.62680327,-17.38501652,-0.331357057
-11.62680327,-17.06350078,-0.012663757
-11.62680327,-16.74198504,0.227744149
-11.62680327,-16.4204693,0.389866661
-11.62680327,-16.09895356,0.473703781
-11.62680327,-15.77743782,0.479255506
-11.62680327,-15.45592208,0.406521838
-11.62680327,-15.13440634,0.255502777
-11.62680327,-14.8128906,0.188934823
-11.62680327,-14.49137486,0.211645742
-11.62680327,-14.16985912,0.269749321
-11.62680327,-13.84834338,0.32954319
-11.62680327,-13.52682764,0.391027351
-11.62680327,-13.2053119,0.454201803
-11.62680327,-12.88379616,0.519066546
-11.62680327,-12.56228042,0.58562158
-11.62680327,-12.24076468,0.653866904
-11.62680327,-11.91924894,0.72380252
-11.62680327,-11.5977332,0.795428427
-11.62680327,-11.27621746,0.868744624
-11.62680327,-10.95470172,0.943751113
-11.62680327,-10.63318598,1.020447893
-11.62680327,-10.31167024,1.098834964
-11.62680327,-9.9901545,1.178912325
-11.62680327,-9.66863876,1.260679978
